Order ID,Order Date,Region,Category,Product Name,Quantity,Unit Price,Sales,Cost,Profit,Customer Segment
ORD-100000,2024-06-23,North,Technology,Mouse,7,400.31,2802.17,1835.51,966.66,Home Office
ORD-100001,2024-10-25,East,Furniture,Bookshelf,8,303.34,2426.72,1569.62,857.1,Consumer
ORD-100002,2022-12-16,North,Furniture,Bookshelf,3,58.99,176.97,130.56,46.41,Consumer
ORD-100003,2022-01-28,West,Furniture,Bookshelf,5,304.55,1522.75,1237.12,285.63,Corporate
ORD-100004,2022-12-20,East,Office Supplies,Paper Ream,6,37.64,225.84,184.42,41.42,Home Office
ORD-100005,2022-08-29,West,Technology,Laptop,6,10.38,62.28,55.91,6.37,Corporate
ORD-100006,2022-09-07,North,Technology,Mouse,1,159.08,159.08,120.49,38.59,Home Office
ORD-100007,2024-09-30,North,Technology,Laptop,9,152.7,1374.3,1076.84,297.46,Consumer
ORD-100008,2023-10-31,South,Technology,Monitor,3,197.41,592.23,530.03,62.2,Consumer
ORD-100009,2024-07-25,East,Office Supplies,Stapler,9,32.76,294.84,230.64,64.2,Corporate
ORD-100010,2022-07-18,North,Office Supplies,Paper Ream,5,230.74,1153.7,696.81,456.89,Consumer
ORD-100011,2023-10-01,East,Furniture,Office Chair,9,483.16,4348.44,3663.64,684.8,Consumer
ORD-100012,2025-01-19,North,Office Supplies,Notebook,9,17.82,160.38,107.34,53.04,Home Office
ORD-100013,2025-06-02,South,Technology,Mouse,7,308.9,2162.3,1837.87,324.43,Home Office
ORD-100014,2025-04-27,West,Furniture,Desk,3,455.57,1366.71,926.13,440.58,Home Office
ORD-100015,2024-06-27,North,Furniture,Bookshelf,8,380.13,3041.04,2212.5,828.54,Consumer
ORD-100016,2025-01-11,South,Technology,Mouse,6,277.89,1667.34,1092.87,574.47,Consumer
ORD-100017,2022-07-09,East,Furniture,Bookshelf,2,389.82,779.64,687.53,92.11,Home Office
ORD-100018,2023-02-04,East,Furniture,Bookshelf,4,302.97,1211.88,1062.29,149.59,Consumer
ORD-100019,2024-06-20,North,Office Supplies,Pen Set,8,289.52,2316.16,1751.6,564.56,Consumer
ORD-100020,2024-02-24,East,Technology,Laptop,8,423.82,3390.56,2794.49,596.07,Consumer
ORD-100021,2023-01-23,West,Furniture,Office Chair,5,297.51,1487.55,1323.29,164.26,Home Office
ORD-100022,2024-09-28,South,Furniture,Bookshelf,9,155.17,1396.53,907.16,489.37,Consumer
ORD-100023,2023-01-19,West,Technology,Keyboard,9,493.57,4442.13,3694.4,747.73,Consumer
ORD-100024,2025-01-05,South,Furniture,Desk,8,12.71,101.68,85.88,15.8,Consumer
ORD-100025,2022-08-21,East,Furniture,Desk,1,358.56,358.56,300.13,58.43,Consumer
ORD-100026,2023-06-14,East,Office Supplies,Paper Ream,5,463.89,2319.45,1844.71,474.74,Corporate
ORD-100027,2023-09-22,South,Technology,Laptop,7,426.52,2985.64,2193.95,791.69,Consumer
ORD-100028,2023-09-11,East,Office Supplies,Stapler,1,41.14,41.14,28.52,12.62,Home Office
ORD-100029,2023-12-31,East,Technology,Keyboard,8,336.3,2690.4,2091.49,598.91,Corporate
ORD-100030,2024-08-19,West,Technology,Keyboard,6,444.73,2668.38,1979.04,689.34,Home Office
ORD-100031,2025-01-13,East,Technology,Mouse,5,486.14,2430.7,2077.46,353.24,Home Office
ORD-100032,2022-02-04,West,Office Supplies,Paper Ream,5,285.03,1425.15,1184.71,240.44,Corporate
ORD-100033,2023-09-10,North,Technology,Keyboard,7,29.81,208.67,169.69,38.98,Home Office
ORD-100034,2024-01-28,East,Furniture,Desk,3,25.4,76.2,60.27,15.93,Consumer
ORD-100035,2022-10-05,East,Furniture,Bookshelf,4,286.01,1144.04,925.13,218.91,Corporate
ORD-100036,2025-05-19,South,Furniture,Filing Cabinet,5,132.15,660.75,477.8,182.95,Corporate
ORD-100037,2022-09-11,South,Office Supplies,Stapler,4,472.0,1888.0,1472.0,416.0,Corporate
ORD-100038,2024-07-27,North,Furniture,Office Chair,3,89.0,267.0,234.67,32.33,Corporate
ORD-100039,2022-03-12,North,Technology,Mouse,9,61.69,555.21,409.17,146.04,Home Office
ORD-100040,2023-10-24,South,Office Supplies,Pen Set,4,447.35,1789.4,1363.17,426.23,Corporate
ORD-100041,2024-05-10,East,Office Supplies,Stapler,7,449.08,3143.56,2186.03,957.53,Corporate
ORD-100042,2024-12-15,South,Office Supplies,Notebook,1,143.34,143.34,113.86,29.48,Consumer
ORD-100043,2023-09-14,North,Furniture,Filing Cabinet,9,410.83,3697.47,3173.24,524.23,Home Office
ORD-100044,2023-10-05,West,Office Supplies,Paper Ream,7,90.68,634.76,482.56,152.2,Corporate
ORD-100045,2023-03-27,West,Office Supplies,Notebook,5,349.29,1746.45,1189.02,557.43,Home Office
ORD-100046,2024-02-09,West,Technology,Mouse,8,472.03,3776.24,2631.89,1144.35,Consumer
ORD-100047,2022-08-03,South,Technology,Keyboard,8,354.48,2835.84,2010.86,824.98,Consumer
ORD-100048,2023-04-10,West,Technology,Laptop,1,134.42,134.42,90.61,43.81,Consumer
ORD-100049,2024-04-09,West,Technology,Laptop,7,253.65,1775.55,1225.6,549.95,Consumer
ORD-100050,2023-11-23,West,Furniture,Office Chair,1,498.89,498.89,339.26,159.63,Home Office
ORD-100051,2022-06-11,East,Technology,Keyboard,2,256.31,512.62,315.49,197.13,Home Office
ORD-100052,2024-09-15,East,Furniture,Desk,5,179.08,895.4,707.64,187.76,Home Office
ORD-100053,2023-03-12,South,Furniture,Bookshelf,2,270.16,540.32,396.78,143.54,Corporate
ORD-100054,2023-02-02,West,Furniture,Office Chair,6,128.61,771.66,618.59,153.07,Consumer
ORD-100055,2022-09-25,West,Technology,Laptop,8,126.44,1011.52,827.89,183.63,Consumer
